id,ticket_text,true_category,predicted_category,reasoning,correct,otel_run_name,otel_prompt_version,validator_comment,failure_category
t012,The website said 2-day shipping. It's been 9 days. Are you kidding me?,order_status,order_status,The customer is inquiring about the delay in delivery of their order.,True,improved,v2,,
t013,I can't believe it's been 9 days when your site promised 2-day shipping. What's going on?,order_status,order_status,The customer is inquiring about the status of their order and the delay in delivery.,True,improved,v2,,
t014,"I'm really disappointed. Your website advertised 2-day shipping, and here I am waiting for 9 days. This is unacceptable!",order_status,order_status,"The customer is expressing frustration about the delay in receiving their order, indicating a question about delivery status.",True,improved,v2,,
t015,"Seriously? I was promised my order would arrive in 2 days, but it's now been 9 days. What gives?",order_status,order_status,The customer is inquiring about the delay in the delivery of their order.,True,improved,v2,,
t016,Tracking link in the email just spins forever. Order #88421.,order_status,order_status,"The customer is experiencing an issue with tracking their order, indicating a problem with order status.",True,improved,v2,,
t017,"I've been trying to use the tracking link from my email for Order #88421, but it just keeps loading endlessly. It's quite frustrating!",order_status,order_status,"The customer is experiencing issues with tracking their order, indicating a question about its status.",True,improved,v2,,
t018,"I would really appreciate it if someone could look into the tracking link for my order, #88421. It's not working—it just spins and spins without any results.",order_status,order_status,"The customer is inquiring about the tracking link for their order, indicating a question about where the order is.",True,improved,v2,,
t019,Can someone please help? The tracking link in my email for order #88421 doesn’t seem to work at all; it just keeps spinning without showing any information.,order_status,order_status,"The customer is experiencing an issue with the tracking link for their order, indicating a question about the order's status.",True,improved,v2,,
t020,I'd like to return the headphones I bought last week and get my money back. They're unopened.,refund_request,refund_request,"The customer is asking for their money back for an unopened item, indicating a refund request.",True,improved,v2,,
t021,"I'm really disappointed with my recent order. The headphones I purchased last week are still unopened, and I'd like to request a refund for them.",refund_request,refund_request,"The customer is asking for a refund for an unopened item, indicating a refund request.",True,improved,v2,,
t022,Could you please assist me with returning the unopened headphones I ordered last week? I would appreciate a full refund.,refund_request,refund_request,The customer is asking for a refund for an item they wish to return.,True,improved,v2,,
t023,I want to send back the unopened headphones I got last week and get my money returned. This is rather frustrating.,refund_request,refund_request,The customer is asking for their money back for an unopened item.,True,improved,v2,,
t024,Where is my refund? I returned the item two weeks ago and still nothing on my card.,refund_request,refund_request,The customer is asking about the status of a refund they initiated after returning an item.,True,improved,v2,,
t025,I've been waiting for my refund for two weeks after returning my item and there's still no sign of it on my card. Can you please check what’s going on?,refund_request,refund_request,The customer is asking about the status of their refund after returning an item.,True,improved,v2,,
t026,"Excuse me, but it's been two whole weeks since I sent back my order, and I have yet to see the refund reflected on my card. What’s taking so long?",refund_request,refund_request,The customer is inquiring about the status of a refund they initiated after returning an order.,True,improved,v2,,
t027,"I returned my item a fortnight ago, and I'm still without my refund on my card. What's the hold-up?",refund_request,refund_request,The customer is asking about the status of their refund after returning an item.,True,improved,v2,,
t028,Please cancel order 99021 and refund my card. I no longer need it.,refund_request,refund_request,The customer is asking for a refund for an order they no longer need.,True,improved,v2,,
t029,I need to cancel order number 99021 and request a refund to my card. I simply don't want it anymore.,refund_request,refund_request,The customer is asking for a refund for an order they no longer want.,True,improved,v2,,
t030,"Could you please cancel my order, 99021? I would appreciate a refund to my card since I don't need it now.",refund_request,refund_request,The customer is asking for a refund after requesting to cancel their order.,True,improved,v2,,
t031,Please go ahead and cancel my order 99021. I’d like a refund to my card since I don’t want the item anymore.,refund_request,refund_request,The customer is asking for a refund for an order they no longer want.,True,improved,v2,,
t032,I was charged $89 but the website showed $79 at checkout. Please refund the difference.,refund_request,refund_request,The customer is asking for a refund of the difference due to a discrepancy in the charged amount.,True,improved,v2,,
t033,I don't understand why I was billed $89 when the checkout clearly stated $79. I expect you to refund the overcharge immediately.,refund_request,refund_request,The customer is asking for a refund due to being overcharged.,True,improved,v2,,
t034,"Hey there, I noticed I was charged $89 instead of the $79 that was listed during checkout. Can you help me get the extra $10 back?",refund_request,refund_request,The customer is asking for their money back due to being overcharged.,True,improved,v2,,
t035,"This is ridiculous! I went through checkout and it said $79, so why did I end up being charged $89? I want that $10 refunded ASAP!",refund_request,account_help,The customer is experiencing a site issue related to the checkout process and is asking for a refund due to a discrepancy in the charged amount.,False,improved,v2,,
t036,Returning these for store credit is fine but honestly I'd prefer cash back to my original card.,refund_request,refund_request,The customer is asking for their money back instead of store credit.,True,improved,v2,,
t037,"I’d like to return these for store credit, but to be honest, I’d much rather have my money back on the original payment method.",refund_request,refund_request,"The customer is asking for their money back, indicating a refund request.",True,improved,v2,,
t038,"Sure, store credit works, but frankly, I’d rather just get a refund on my card instead.",refund_request,refund_request,The customer is asking for a refund on their card.,True,improved,v2,,
t039,"Returning these for store credit is okay, but really, I’d prefer a cash refund to my card if that’s possible.",refund_request,refund_request,The customer is asking for a cash refund to their card.,True,improved,v2,,
t040,The coffee maker arrived with a cracked carafe. Really disappointed.,product_issue,product_issue,"The item arrived broken, which fits the product_issue category.",True,improved,v2,,
t041,The coffee machine I ordered came with a broken carafe. I'm really not happy about this!,product_issue,product_issue,"The item arrived broken, specifically the carafe of the coffee machine.",True,improved,v2,,
t042,"I received my coffee maker, but the carafe is cracked. This is pretty disappointing.",product_issue,product_issue,"The customer received a damaged item (cracked carafe), which falls under product_issue.",True,improved,v2,,
t043,"Just got my order for the coffee maker and, surprise! The carafe is shattered. Not exactly what I expected.",product_issue,product_issue,"The customer received a broken item, which falls under product_issue.",True,improved,v2,,
t044,"My laptop arrived damaged and I want a full refund, not a replacement.",product_issue,product_issue,"The item arrived damaged, which falls under product_issue regardless of the refund request.",True,improved,v2,,
t045,"I received my laptop, and it's damaged. I demand a full refund instead of a replacement.",product_issue,product_issue,"The customer received a damaged item, which falls under product_issue.",True,improved,v2,,
t046,The laptop I ordered came in a damaged condition. Please process a complete refund for me rather than sending a new one.,product_issue,product_issue,"The item arrived damaged, which falls under product_issue.",True,improved,v2,,
t047,"My order for a laptop was delivered, but it arrived broken. I need a full refund, not another unit.",product_issue,product_issue,"The item arrived broken, which falls under product_issue.",True,improved,v2,,
t048,You sent me a size medium shirt but I ordered a large. Second time this has happened.,product_issue,product_issue,"The customer received the wrong size shirt, which qualifies as a product issue.",True,improved,v2,,
t049,"I can't believe this! You sent me a medium shirt again instead of the large I ordered. This is the second time it has happened, and I'm really frustrated!",product_issue,product_issue,"The customer received the wrong item (medium shirt instead of large), which qualifies as a product issue.",True,improved,v2,,
t050,"I'm reaching out because I received a medium shirt when I specifically ordered a large. This is the second time this mistake has occurred, and it’s quite disappointing.",product_issue,product_issue,"The customer received the wrong item (medium shirt instead of large), which qualifies as a product issue.",True,improved,v2,,
t051,"What’s going on? I ordered a large shirt, but you sent me a medium again. This is the second error like this. Can someone please fix this?",product_issue,product_issue,"The customer received the wrong item (medium instead of large), which qualifies as a product issue.",True,improved,v2,,
t052,The product description said 'wireless' but I had to buy a separate dongle to use it. Misleading.,product_issue,product_issue,The item did not match the description as it required a separate dongle to function.,True,improved,v2,,
t053,"I was under the impression this was truly 'wireless' as stated in the description, but I ended up needing to purchase a separate dongle. That's quite misleading.",product_issue,product_issue,"The customer received an item that did not match the description, indicating a product issue.",True,improved,v2,,
t054,"I'm really frustrated right now because the product claimed to be 'wireless,' yet I had to go out and buy a separate dongle to connect it. This seems deceptive to me.",product_issue,product_issue,"The customer received a product that was not as described, claiming to be 'wireless' but requiring additional equipment.",True,improved,v2,,
t055,"This is absurd! The description clearly said 'wireless,' and here I am, needing to buy a dongle just to use it. Talk about misleading information!",product_issue,product_issue,"The customer received an item that was not as described, indicating a product issue.",True,improved,v2,,
t056,Item itself works fine but the box was crushed and the instruction manual is missing.,product_issue,product_issue,"The item arrived with a crushed box and a missing instruction manual, indicating a product issue.",True,improved,v2,,
t057,"I received my order today and while the item itself is functioning, the box arrived all smashed up and I'm missing the instruction manual. Not exactly what I expected!",product_issue,product_issue,"The item arrived damaged (smashed box) and incomplete (missing manual), which qualifies as a product issue.",True,improved,v2,,
t058,"The product seems to work, but you really need to look at your packaging. The box was totally crushed, and to make matters worse, there's no instruction manual included.",product_issue,product_issue,"The item arrived with packaging damage and missing instructions, indicating a product issue.",True,improved,v2,,
t059,"Everything appears to function properly with the item, but I was really disappointed to find the box had been damaged during shipping and the instruction manual was nowhere to be found.",product_issue,product_issue,"The item arrived with a damaged box and missing instruction manual, indicating a product issue.",True,improved,v2,,
t060,I can't log into my account — it keeps saying my password is wrong even after I reset it.,account_help,account_help,The customer is experiencing issues logging into their account due to a password problem.,True,improved,v2,,
t061,"I'm really frustrated! No matter how many times I reset my password, it still says it's incorrect. Can someone please help me log into my account?",account_help,account_help,The customer is having trouble logging into their account due to a password issue.,True,improved,v2,,
t062,"I hope you can assist me. I've been trying to access my account, but every time I enter my password, it claims it's wrong, even after I've reset it. Very annoying!",account_help,account_help,The customer is having trouble accessing their account due to password issues.,True,improved,v2,,
t063,"Hello, I'm having some trouble with my account. I reset my password, but I still cannot log in because it insists my password is incorrect. Please advise!",account_help,account_help,The customer is experiencing issues logging into their account after resetting their password.,True,improved,v2,,
t064,How do I update the credit card on file? I don't see the option anywhere in settings.,account_help,account_help,The customer is asking for assistance with updating their payment method.,True,improved,v2,,
t065,I'm really confused here. Can you please tell me how to change my credit card on file? I can't find that option in the settings at all!,account_help,account_help,The customer is asking for help with changing their credit card information.,True,improved,v2,,
t066,"Excuse me, but could you guide me on how to update my credit card information? I have looked through the settings and didn't see any option for it.",account_help,account_help,"The customer is asking for assistance with updating their credit card information, which relates to account management.",True,improved,v2,,
t067,"Can someone point me in the right direction? I need to change my credit card, but I can't seem to find the update button in the settings.",account_help,account_help,The customer is asking for help with changing their credit card information.,True,improved,v2,,
t068,The website won't let me check out — it keeps logging me out mid-payment.,account_help,account_help,The customer is experiencing a site bug that prevents them from completing the checkout process.,True,improved,v2,,
t069,"I'm really frustrated because every time I try to check out, the site logs me out during the payment. This is so annoying!",account_help,account_help,The customer is experiencing a site bug that prevents them from completing the checkout process.,True,improved,v2,,
t070,I’m having a problem with my order processing — the checkout keeps logging me out right in the middle of entering my payment details. Can you help?,account_help,account_help,The customer is experiencing a site bug that prevents them from completing the checkout process.,True,improved,v2,,
t071,Why can’t I complete my purchase? The site just kicks me out when I’m trying to pay! This is ridiculous.,account_help,account_help,The customer is experiencing a site bug that prevents them from completing their purchase.,True,improved,v2,,
t072,Please remove my old shipping address. I moved last month and don't want stuff going there.,account_help,account_help,The customer is asking for help with changing their shipping address.,True,improved,v2,,
t073,"Hey there, can you please delete my previous shipping address? I relocated last month, and I definitely don’t want my packages ending up at my old place anymore.",account_help,account_help,The customer is asking for help with changing their shipping address.,True,improved,v2,,
t074,"Could you kindly ensure that my old shipping address is removed? I moved recently, and I really don’t want my orders sent to my previous location.",account_help,account_help,The customer is asking for help with removing an old shipping address from their account.,True,improved,v2,,
t075,"I need my old shipping address taken off my account ASAP. I moved last month, and I don't want items being sent to that old address anymore. Thanks!",account_help,account_help,The customer is asking for help with updating their shipping address on their account.,True,improved,v2,,
t076,I keep getting 2FA codes I didn't request. Is someone trying to access my account?,account_help,account_help,The customer is experiencing issues with two-factor authentication related to their account security.,True,improved,v2,,
t077,I've been receiving two-factor authentication codes that I didn’t ask for. Is there someone attempting to log into my account?,account_help,account_help,"The customer is concerned about unauthorized access to their account, which relates to account security.",True,improved,v2,,
t078,Why am I getting 2FA codes sent to me that I didn't request? Is someone trying to break into my account or what?,account_help,account_help,The customer is inquiring about 2FA codes related to their account security.,True,improved,v2,,
t079,"I keep getting annoying 2FA codes that I never requested. Seriously, is someone trying to access my account without my permission?",account_help,account_help,The customer is experiencing issues with two-factor authentication related to their account security.,True,improved,v2,,
t080,Do you guys ship to Canada? Couldn't find it on the FAQ page.,other,other,"The customer is asking a general question about shipping to Canada, which does not fit into the other specified categories.",True,improved,v2,,
t081,"Hey, can you tell me if you ship to Canada? I searched the FAQ but came up empty.",other,other,The customer is asking a general question about shipping policies.,True,improved,v2,,
t082,I can't seem to find any info on whether you ship to Canada. Is it possible?,other,other,"The customer is asking a general question about shipping to Canada, which does not fit into any of the specified categories.",True,improved,v2,,
t083,Do you ship to Canada or what? I looked through the FAQ and there's nothing about it.,other,other,The customer is asking a general question about shipping policies.,True,improved,v2,,
t084,Just wanted to say the customer service rep I spoke to yesterday was amazing. Thank you!,other,other,"The customer is providing feedback about their experience with customer service, which does not fit into any of the specified categories.",True,improved,v2,,
t085,I have to give a shoutout to the customer service person I chatted with yesterday. They were fantastic! Thanks a lot!,other,other,"The customer is providing positive feedback about customer service, which does not fit into any of the specified categories.",True,improved,v2,,
t086,I wanted to express my appreciation for the awesome support I received from the rep I spoke with yesterday. Much appreciated!,other,other,"The customer is providing feedback and expressing appreciation, which does not fit into any of the specified categories.",True,improved,v2,,
t087,Kudos to your customer service team! The representative I interacted with yesterday was incredible. Thanks for your help!,other,other,"The customer is providing feedback and expressing gratitude, which does not fit into any of the specified categories.",True,improved,v2,,
t088,Is the red version of SKU-1140 back in stock?,other,other,"The customer is inquiring about product availability, which does not fit any of the specified categories.",True,improved,v2,,
t089,I'm just wondering if the red SKU-1140 is available again. It seems to be out of stock for a while now. Can you give me an update?,other,other,"The customer is inquiring about product availability, which does not fit into any of the specified categories.",True,improved,v2,,
t090,Could you please confirm if the red version of SKU-1140 is restocked yet? I've been keeping an eye on it for days.,other,other,"The customer is inquiring about product availability, which does not fit any of the specified categories.",True,improved,v2,,
t091,I need to know if the red SKU-1140 is back in stock. I'm tired of checking the website every day!,other,other,"The customer is asking about product availability, which is a general inquiry.",True,improved,v2,,
t092,Do you offer a student discount? Couldn't find one at checkout.,other,other,"The customer is asking a general question about discounts, which does not fit into any of the specified categories.",True,improved,v2,,
t093,"I was hoping to use a student discount for my order, but I didn't see any option at checkout. Can you help?",other,other,"The customer is asking for help with a discount option, which is a general inquiry.",True,improved,v2,,
t094,Is there a student discount available? I searched through the checkout process but couldn't locate it.,other,other,"The customer is asking a general question about discounts, which does not fit into the other specified categories.",True,improved,v2,,
t095,"Hey, I thought you guys had a student discount? I didn't see anything about it when I checked out. What gives?",other,other,"The customer is asking a general question about a student discount, which does not fit into any of the specified categories.",True,improved,v2,,
t096,When's your next sale? My birthday is coming up and I'd love to splurge.,other,other,"The customer is asking about a future sale, which is a general question.",True,improved,v2,,
t097,"Hey there! I'm curious when your next sale is. My birthday is right around the corner, and I really want to treat myself!",other,other,"The customer is asking a general question about upcoming sales, which does not fit into any of the specified categories.",True,improved,v2,,
t098,"Excuse me, could you tell me when your next sale will be? With my birthday approaching, I want to indulge a bit!",other,other,"The customer is asking a general question about upcoming sales, which does not fit any of the specified categories.",True,improved,v2,,
t099,"Just wondering if you have any idea when your next sale is happening. My birthday is soon, and I'd really like to buy something nice for myself.",other,other,"The customer is asking about upcoming sales, which is a general inquiry and not related to any specific order or account issue.",True,improved,v2,,
