id,ticket_text,true_category,predicted_category,reasoning,correct,otel_run_name,otel_prompt_version,validator_comment,failure_category
t034,"Hey there, I noticed I was charged $89 instead of the $79 that was listed during checkout. Can you help me get the extra $10 back?",refund_request,refund_request,The customer is requesting a refund for the extra charge.,True,baseline,v1,,
t035,"This is ridiculous! I went through checkout and it said $79, so why did I end up being charged $89? I want that $10 refunded ASAP!",refund_request,refund_request,The customer is requesting a refund for an incorrect charge.,True,baseline,v1,,
t036,Returning these for store credit is fine but honestly I'd prefer cash back to my original card.,refund_request,refund_request,The customer is requesting a refund to their original card.,True,baseline,v1,,
t037,"I’d like to return these for store credit, but to be honest, I’d much rather have my money back on the original payment method.",refund_request,refund_request,The customer is requesting a refund to their original payment method.,True,baseline,v1,,
t038,"Sure, store credit works, but frankly, I’d rather just get a refund on my card instead.",refund_request,refund_request,The customer is requesting a refund on their card.,True,baseline,v1,,
t039,"Returning these for store credit is okay, but really, I’d prefer a cash refund to my card if that’s possible.",refund_request,refund_request,The customer is requesting a cash refund to their card.,True,baseline,v1,,
t040,The coffee maker arrived with a cracked carafe. Really disappointed.,product_issue,product_issue,The item arrived broken.,True,baseline,v1,,
t041,The coffee machine I ordered came with a broken carafe. I'm really not happy about this!,product_issue,product_issue,"The item arrived broken, which indicates a product issue.",True,baseline,v1,,
t042,"I received my coffee maker, but the carafe is cracked. This is pretty disappointing.",product_issue,product_issue,The customer is reporting a problem with the item they received.,True,baseline,v1,,
t043,"Just got my order for the coffee maker and, surprise! The carafe is shattered. Not exactly what I expected.",product_issue,product_issue,The item arrived broken.,True,baseline,v1,,
t044,"My laptop arrived damaged and I want a full refund, not a replacement.",product_issue,refund_request,The customer is requesting a full refund for a damaged laptop.,False,baseline,v1,,
t045,"I received my laptop, and it's damaged. I demand a full refund instead of a replacement.",product_issue,refund_request,The customer is requesting a full refund for a damaged laptop.,False,baseline,v1,,
t046,The laptop I ordered came in a damaged condition. Please process a complete refund for me rather than sending a new one.,product_issue,refund_request,The customer is requesting a refund for a damaged laptop.,False,baseline,v1,,
t047,"My order for a laptop was delivered, but it arrived broken. I need a full refund, not another unit.",product_issue,refund_request,The customer is requesting a full refund for a broken laptop.,False,baseline,v1,,
t048,You sent me a size medium shirt but I ordered a large. Second time this has happened.,product_issue,product_issue,"The customer received the wrong size shirt, indicating a product issue.",True,baseline,v1,,
t049,"I can't believe this! You sent me a medium shirt again instead of the large I ordered. This is the second time it has happened, and I'm really frustrated!",product_issue,product_issue,"The customer received the wrong item size, indicating a product issue.",True,baseline,v1,,
t050,"I'm reaching out because I received a medium shirt when I specifically ordered a large. This is the second time this mistake has occurred, and it’s quite disappointing.",product_issue,product_issue,"The customer received the wrong size shirt, which indicates a product issue.",True,baseline,v1,,
t051,"What’s going on? I ordered a large shirt, but you sent me a medium again. This is the second error like this. Can someone please fix this?",product_issue,product_issue,"The customer received the wrong size shirt, indicating a product issue.",True,baseline,v1,,
t052,The product description said 'wireless' but I had to buy a separate dongle to use it. Misleading.,product_issue,product_issue,The customer is reporting a misleading product description related to the functionality of the item.,True,baseline,v1,,
t053,"I was under the impression this was truly 'wireless' as stated in the description, but I ended up needing to purchase a separate dongle. That's quite misleading.",product_issue,product_issue,The customer is expressing dissatisfaction with the product description regarding its wireless capability.,True,baseline,v1,,
t054,"I'm really frustrated right now because the product claimed to be 'wireless,' yet I had to go out and buy a separate dongle to connect it. This seems deceptive to me.",product_issue,product_issue,The customer is expressing frustration about the product not being as described.,True,baseline,v1,,
t055,"This is absurd! The description clearly said 'wireless,' and here I am, needing to buy a dongle just to use it. Talk about misleading information!",product_issue,product_issue,The customer is upset about receiving a product that does not match the description.,True,baseline,v1,,
t056,Item itself works fine but the box was crushed and the instruction manual is missing.,product_issue,product_issue,The item arrived damaged and missing parts.,True,baseline,v1,,
t057,"I received my order today and while the item itself is functioning, the box arrived all smashed up and I'm missing the instruction manual. Not exactly what I expected!",product_issue,product_issue,"The item arrived damaged and missing parts, which indicates a product issue.",True,baseline,v1,,
t058,"The product seems to work, but you really need to look at your packaging. The box was totally crushed, and to make matters worse, there's no instruction manual included.",product_issue,product_issue,The item arrived with packaging issues and missing instructions.,True,baseline,v1,,
t059,"Everything appears to function properly with the item, but I was really disappointed to find the box had been damaged during shipping and the instruction manual was nowhere to be found.",product_issue,product_issue,The item arrived with a damaged box and missing instruction manual.,True,baseline,v1,,
t060,I can't log into my account — it keeps saying my password is wrong even after I reset it.,account_help,account_help,The customer is experiencing issues with logging into their account.,True,baseline,v1,,
t061,"I'm really frustrated! No matter how many times I reset my password, it still says it's incorrect. Can someone please help me log into my account?",account_help,account_help,The customer is having trouble logging into their account due to a password issue.,True,baseline,v1,,
t062,"I hope you can assist me. I've been trying to access my account, but every time I enter my password, it claims it's wrong, even after I've reset it. Very annoying!",account_help,account_help,The customer is experiencing issues with logging into their account.,True,baseline,v1,,
t063,"Hello, I'm having some trouble with my account. I reset my password, but I still cannot log in because it insists my password is incorrect. Please advise!",account_help,account_help,The customer is experiencing issues with logging into their account.,True,baseline,v1,,
t064,How do I update the credit card on file? I don't see the option anywhere in settings.,account_help,account_help,The customer is asking for assistance with updating their payment method.,True,baseline,v1,,
t065,I'm really confused here. Can you please tell me how to change my credit card on file? I can't find that option in the settings at all!,account_help,account_help,"The customer is asking for help with changing their credit card information, which relates to account management.",True,baseline,v1,,
t066,"Excuse me, but could you guide me on how to update my credit card information? I have looked through the settings and didn't see any option for it.",account_help,account_help,"The customer is asking for assistance with updating their credit card information, which relates to account management.",True,baseline,v1,,
t067,"Can someone point me in the right direction? I need to change my credit card, but I can't seem to find the update button in the settings.",account_help,account_help,The customer is seeking assistance with updating their credit card information in their account settings.,True,baseline,v1,,
t068,The website won't let me check out — it keeps logging me out mid-payment.,account_help,account_help,The issue is related to logging in and payment processing.,True,baseline,v1,,
t069,"I'm really frustrated because every time I try to check out, the site logs me out during the payment. This is so annoying!",account_help,account_help,The customer is experiencing issues with logging in during the checkout process.,True,baseline,v1,,
t070,I’m having a problem with my order processing — the checkout keeps logging me out right in the middle of entering my payment details. Can you help?,account_help,account_help,"The customer is experiencing issues with the checkout process, which relates to account access.",True,baseline,v1,,
t071,Why can’t I complete my purchase? The site just kicks me out when I’m trying to pay! This is ridiculous.,account_help,account_help,"The customer is experiencing issues with completing a purchase, which relates to account or payment method problems.",True,baseline,v1,,
t072,Please remove my old shipping address. I moved last month and don't want stuff going there.,account_help,account_help,The customer is requesting help with updating their shipping address.,True,baseline,v1,,
t073,"Hey there, can you please delete my previous shipping address? I relocated last month, and I definitely don’t want my packages ending up at my old place anymore.",account_help,account_help,The customer is requesting help with updating their shipping address.,True,baseline,v1,,
t074,"Could you kindly ensure that my old shipping address is removed? I moved recently, and I really don’t want my orders sent to my previous location.",account_help,account_help,The customer is requesting help with updating their shipping address.,True,baseline,v1,,
t075,"I need my old shipping address taken off my account ASAP. I moved last month, and I don't want items being sent to that old address anymore. Thanks!",account_help,account_help,The customer is requesting help with updating their shipping address on their account.,True,baseline,v1,,
t076,I keep getting 2FA codes I didn't request. Is someone trying to access my account?,account_help,account_help,The customer is concerned about unauthorized access to their account and needs help with 2FA.,True,baseline,v1,,
t077,I've been receiving two-factor authentication codes that I didn’t ask for. Is there someone attempting to log into my account?,account_help,account_help,The customer is concerned about unauthorized access to their account and needs help with account security.,True,baseline,v1,,
t078,Why am I getting 2FA codes sent to me that I didn't request? Is someone trying to break into my account or what?,account_help,account_help,The customer is inquiring about 2FA codes related to their account security.,True,baseline,v1,,
t079,"I keep getting annoying 2FA codes that I never requested. Seriously, is someone trying to access my account without my permission?",account_help,account_help,The customer is experiencing issues related to account security and 2FA codes.,True,baseline,v1,,
t080,Do you guys ship to Canada? Couldn't find it on the FAQ page.,other,other,The ticket is a general question about shipping policies.,True,baseline,v1,,
t081,"Hey, can you tell me if you ship to Canada? I searched the FAQ but came up empty.",other,other,The customer is asking a general question about shipping policies.,True,baseline,v1,,
t082,I can't seem to find any info on whether you ship to Canada. Is it possible?,other,other,The ticket is a general question about shipping policies.,True,baseline,v1,,
t083,Do you ship to Canada or what? I looked through the FAQ and there's nothing about it.,other,other,The customer is asking a general question about shipping policies.,True,baseline,v1,,
t084,Just wanted to say the customer service rep I spoke to yesterday was amazing. Thank you!,other,other,"The ticket is feedback about customer service, which does not fit into the other categories.",True,baseline,v1,,
t085,I have to give a shoutout to the customer service person I chatted with yesterday. They were fantastic! Thanks a lot!,other,other,"The ticket is a general feedback about customer service, not related to any specific issue.",True,baseline,v1,,
t086,I wanted to express my appreciation for the awesome support I received from the rep I spoke with yesterday. Much appreciated!,other,other,The ticket is expressing appreciation and does not fit into any of the specified categories.,True,baseline,v1,,
t087,Kudos to your customer service team! The representative I interacted with yesterday was incredible. Thanks for your help!,other,other,"The ticket is feedback about customer service, which does not fit into the other categories.",True,baseline,v1,,
t088,Is the red version of SKU-1140 back in stock?,other,other,"The inquiry is about product availability, which does not fit into the specified categories.",True,baseline,v1,,
t089,I'm just wondering if the red SKU-1140 is available again. It seems to be out of stock for a while now. Can you give me an update?,other,other,"The customer is inquiring about product availability, which does not fit into the specified categories.",True,baseline,v1,,
t090,Could you please confirm if the red version of SKU-1140 is restocked yet? I've been keeping an eye on it for days.,other,other,"The customer is inquiring about product availability, which does not fit the specified categories.",True,baseline,v1,,
t091,I need to know if the red SKU-1140 is back in stock. I'm tired of checking the website every day!,other,other,"The customer is inquiring about product availability, which does not fit into the specified categories.",True,baseline,v1,,
t092,Do you offer a student discount? Couldn't find one at checkout.,other,other,"The inquiry is about a discount policy, which does not fit into the specified categories.",True,baseline,v1,,
t093,"I was hoping to use a student discount for my order, but I didn't see any option at checkout. Can you help?",other,other,"The inquiry is about a discount option, which does not fit into the specified categories.",True,baseline,v1,,
t094,Is there a student discount available? I searched through the checkout process but couldn't locate it.,other,other,"The ticket is a general question about discounts, not related to an order, refund, product, or account issue.",True,baseline,v1,,
t095,"Hey, I thought you guys had a student discount? I didn't see anything about it when I checked out. What gives?",other,other,"The customer is inquiring about a discount policy, which does not fit into the specified categories.",True,baseline,v1,,
t096,When's your next sale? My birthday is coming up and I'd love to splurge.,other,other,"The customer is asking about future sales, which does not fit into the specified categories.",True,baseline,v1,,
t097,"Hey there! I'm curious when your next sale is. My birthday is right around the corner, and I really want to treat myself!",other,other,"The customer is asking about future sales, which does not fit into any of the specified categories.",True,baseline,v1,,
t098,"Excuse me, could you tell me when your next sale will be? With my birthday approaching, I want to indulge a bit!",other,other,"The customer is asking about future sales, which does not fit into the specified categories.",True,baseline,v1,,
t099,"Just wondering if you have any idea when your next sale is happening. My birthday is soon, and I'd really like to buy something nice for myself.",other,other,"The customer is inquiring about future sales, which does not fit into the specified categories.",True,baseline,v1,,
